Income,Age,Occupation,City_Tier,Loan_Repayment,Fixed Expenses,Investment,Savings,Shopping_Frequency,Hobbies
9693.0,46,Professional,Tier_2,0.0,6033.451502219912,565.12,3093.95,2,"Cooking, Reading"
96904.0,54,Retired,Tier_2,9481.17,66585.97504590657,12438.21,8398.22,15,"Reading, Photography"
25043.0,52,Self_Employed,Tier_2,2898.04,17243.895384961445,1442.51,3458.11,4,"Gardening, Baking"
31665.0,37,Student,Tier_1,0.0,22872.91137676322,2211.78,6580.56,6,"Reading, Video Games"
9597.0,52,Retired,Tier_2,0.0,6500.845641626128,563.49,2532.17,2,"Sports, Writing"
19408.0,52,Retired,Tier_1,2832.16,15749.686943861749,768.43,57.84,4,"Writing, Reading"
32784.0,37,Professional,Tier_2,0.0,23010.832260974486,3058.99,6714.01,8,"Baking, Cooking"
11946.0,19,Student,Tier_2,0.0,7798.24254543158,727.84,3419.99,2,"Cooking, Social Media"
40518.0,35,Retired,Tier_3,0.0,24051.55295365458,5888.57,10578.26,7,"Baking, Cooking"
18554.0,47,Self_Employed,Tier_2,1192.22,13938.801390008288,1716.49,1706.5,4,"Baking, Writing"
23756.0,59,Student,Tier_2,0.0,16334.353471917164,1574.82,5847.0,3,"Social Media, Gardening"
18538.0,46,Professional,Tier_2,3359.64,13123.888649803888,1622.39,432.25,3,"Baking, Reading"
132029.0,56,Self_Employed,Tier_3,0.0,81987.4969945666,23523.96,26517.32,15,"Electronics, Gaming"
29678.0,39,Retired,Tier_1,2892.44,20725.40602803238,1556.73,4503.24,4,"Cooking, Baking"
12872.0,46,Retired,Tier_2,0.0,9717.785017204624,1120.52,2033.36,2,"Sports, Reading"
57930.0,63,Retired,Tier_2,0.0,39108.94449698525,7432.94,11388.0,7,"Cooking, Reading"
11297.0,27,Retired,Tier_2,0.0,8008.942664992034,980.6,2307.29,2,"Sports, Fitness"
35456.0,37,Professional,Tier_3,2757.06,22521.07015968512,2144.54,8033.18,6,"Cooking, Baking"
6256.0,33,Self_Employed,Tier_2,867.81,4594.427770099221,385.41,407.85,1,"Fitness, Reading"
10367.0,23,Student,Tier_3,736.93,5792.640394008975,703.26,3134.38,1,"Cooking, Fitness"
35117.0,34,Retired,Tier_1,0.0,24932.40864049688,2003.03,8181.6,7,"Reading, Baking"
54162.0,23,Self_Employed,Tier_1,5389.56,43597.75501959453,4812.01,362.19,7,"Cooking, Baking"
34408.0,39,Self_Employed,Tier_2,0.0,23804.96707201476,3158.28,7444.85,5,"Cooking, Writing"
27349.0,35,Self_Employed,Tier_3,0.0,15201.171148784808,1743.38,10404.42,6,"Baking, Cooking"
23578.0,49,Self_Employed,Tier_2,0.0,16378.32973198581,2329.62,4870.06,5,"Fitness, Writing"
9192.0,45,Professional,Tier_2,1648.01,7002.089660298386,504.36,37.96,2,"Fitness, Sports"
16866.0,59,Self_Employed,Tier_2,2840.34,11048.41327020444,1554.2,1423.42,3,"Fitness, Reading"
20753.0,27,Professional,Tier_3,0.0,14162.760254054638,1735.59,4854.56,4,"Fitness, Cooking"
69888.0,58,Professional,Tier_1,0.0,56102.14726729768,8815.81,4970.13,14,"Gardening, Photography"
39492.0,39,Retired,Tier_2,0.0,24639.7873117443,3159.73,11692.24,6,"Writing, Baking"
7321.0,45,Student,Tier_2,674.69,4512.978108251088,512.89,1620.58,1,"Video Games, Cooking"
38879.0,32,Student,Tier_2,0.0,25660.645112597562,2382.46,10836.3,7,"Cooking, Video Games"
22046.0,60,Self_Employed,Tier_2,2490.27,15082.262836447228,1343.22,3130.26,3,"Reading, Gardening"
17456.0,46,Self_Employed,Tier_1,0.0,13712.076063001245,1071.88,2671.63,2,"Cooking, Baking"
48937.0,24,Student,Tier_3,6173.58,28610.257421492734,5378.48,8774.91,10,"Social Media, Video Games"
68443.0,51,Student,Tier_2,9243.34,43587.9743808919,8785.55,6825.84,14,"Reading, Cooking"
63195.0,49,Professional,Tier_2,0.0,45406.771125404666,7948.74,9839.25,13,"Cooking, Baking"
15330.0,19,Self_Employed,Tier_2,0.0,9802.071411734974,1431.76,4096.35,2,"Cooking, Sports"
23426.0,43,Student,Tier_1,2226.88,19717.808612188153,1377.2,103.67,4,"Cooking, Reading"
39103.0,62,Student,Tier_2,0.0,28101.30406119201,2325.98,8676.07,6,"Social Media, Video Games"
65473.0,28,Professional,Tier_2,0.0,44237.5513914103,8722.92,12512.24,12,"Baking, Cooking"
20447.0,42,Retired,Tier_2,0.0,14504.913850823674,1153.35,4789.18,4,"Sports, Reading"
25859.0,36,Professional,Tier_2,0.0,17324.31094735756,2431.68,6103.31,3,"Cooking, Reading"
12381.0,37,Student,Tier_3,1610.9,7644.398477415373,1114.02,2011.27,2,"Video Games, Fitness"
11522.0,50,Self_Employed,Tier_2,1912.46,8169.971340753892,619.51,819.76,2,"Sports, Reading"
57467.0,34,Retired,Tier_2,8786.61,36853.97171404408,5666.1,6160.74,7,"Cooking, Baking"
88782.0,47,Professional,Tier_1,0.0,61460.19058028549,10406.73,16915.57,13,"Photography, Cooking"
28321.0,35,Retired,Tier_1,0.0,21693.57061506851,2218.02,4409.0,5,"Baking, Cooking"
66955.0,49,Retired,Tier_2,12898.37,48965.63608608451,4734.81,356.38,14,"Baking, Cooking"
40065.0,57,Professional,Tier_1,3437.47,31683.102910192465,3829.48,1115.07,6,"Reading, Gardening"
17905.0,62,Self_Employed,Tier_2,0.0,12794.697617870674,1289.51,3821.18,4,"Gardening, Sports"
40057.0,21,Student,Tier_3,6078.13,28385.990611871624,4901.56,691.74,8,"Social Media, Video Games"
102681.0,49,Student,Tier_2,19761.33,69114.60226844686,12838.67,966.35,13,"Baking, Social Media"
29152.0,36,Self_Employed,Tier_2,0.0,21399.322921637067,2312.45,5440.61,5,"Fitness, Baking"
104890.0,20,Retired,Tier_1,6756.65,77237.59721486154,17221.71,3674.05,15,"Travel, Baking"
3689.0,55,Self_Employed,Tier_1,495.41,3046.9682936429613,136.51,10.28,1,"Fitness, Cooking"
57900.0,45,Retired,Tier_1,11444.47,47305.30296719861,0.0,0.0,12,"Cooking, Baking"
32164.0,55,Professional,Tier_2,1904.56,21247.729504836985,1895.19,7116.11,5,"Baking, Cooking"
23618.0,23,Retired,Tier_2,0.0,14065.746425750545,1912.97,7638.87,3,"Baking, Sports"
32285.0,57,Student,Tier_1,3371.92,24641.906164111828,2794.91,1476.37,4,"Social Media, Reading"
6117.0,34,Student,Tier_2,383.87,4204.531057572322,476.51,1052.52,1,"Cooking, Video Games"
25165.0,59,Retired,Tier_2,3469.49,17769.32027097491,1561.61,2364.73,4,"Reading, Baking"
39920.0,22,Student,Tier_2,7102.2,26740.381943592496,2329.96,3747.86,8,"Video Games, Baking"
97858.0,36,Self_Employed,Tier_2,0.0,66972.50674027542,10142.34,20742.68,15,"Travel, Cooking"
19818.0,60,Retired,Tier_1,1710.11,16556.185551290615,1111.75,439.77,5,"Cooking, Writing"
15712.0,59,Self_Employed,Tier_2,1266.93,10636.228967318391,1514.18,2294.31,2,"Baking, Fitness"
20081.0,52,Student,Tier_2,0.0,14763.238157797348,1897.5,3420.62,4,"Reading, Baking"
62397.0,39,Self_Employed,Tier_3,8081.25,39821.39362147837,7942.22,6552.26,12,"Cooking, Baking"
39025.0,41,Retired,Tier_1,4031.55,31633.150539167167,1902.4,1457.74,6,"Baking, Cooking"
19636.0,27,Self_Employed,Tier_2,0.0,11582.742013372375,1512.37,6541.37,3,"Fitness, Reading"
45232.0,19,Self_Employed,Tier_1,7866.64,37888.01142480811,0.0,0.0,10,"Baking, Cooking"
32423.0,45,Student,Tier_2,0.0,22903.085854184665,2220.97,7298.66,7,"Video Games, Cooking"
65112.0,58,Student,Tier_1,4564.02,47098.28649834904,7777.19,5672.79,13,"Social Media, Travel"
17108.0,54,Retired,Tier_1,3202.13,13326.547647297957,538.91,40.56,3,"Gardening, Reading"
23082.0,34,Retired,Tier_2,3961.18,16094.00585100044,1194.1,1833.05,4,"Cooking, Reading"
21922.0,23,Student,Tier_2,0.0,15655.948469511803,1746.57,4519.92,4,"Reading, Sports"
9303.0,60,Professional,Tier_2,486.26,5784.232836375325,716.88,2316.08,1,"Sports, Cooking"
38019.0,22,Student,Tier_2,3488.95,28167.965232631006,2054.49,4307.88,7,"Reading, Baking"
36968.0,56,Professional,Tier_2,6914.39,24377.50612125982,2809.43,2866.26,6,"Gardening, Baking"
30123.0,24,Self_Employed,Tier_2,0.0,19736.85889251865,1930.4,8455.72,7,"Cooking, Baking"
24867.0,49,Retired,Tier_1,4433.24,21025.262612343642,0.0,0.0,4,"Reading, Cooking"
9669.0,21,Self_Employed,Tier_2,1198.47,6188.5717803065445,737.48,1544.25,2,"Reading, Baking"
21428.0,38,Self_Employed,Tier_2,0.0,13149.522402909339,2127.65,6150.46,3,"Reading, Sports"
22806.0,59,Student,Tier_2,0.0,15724.868735773747,2127.47,4953.71,5,"Writing, Gardening"
15790.0,49,Retired,Tier_1,0.0,12351.489005079195,1207.9,2230.59,3,"Sports, Cooking"
26368.0,35,Professional,Tier_1,0.0,19895.39637608048,1735.08,4737.99,3,"Reading, Baking"
41448.0,50,Student,Tier_1,0.0,31997.22153301151,5535.12,3915.59,7,"Baking, Cooking"
135659.0,31,Student,Tier_1,17920.39,98591.59137410222,17806.94,1340.31,15,"Cooking, Baking"
34497.0,23,Self_Employed,Tier_3,0.0,20734.556407174594,2812.7,10949.3,5,"Cooking, Writing"
36864.0,28,Professional,Tier_3,2290.09,21910.158897686775,2944.07,9719.76,6,"Writing, Reading"
28265.0,63,Student,Tier_2,4804.32,19102.317649784538,2649.44,1709.38,5,"Gardening, Sports"
6464.0,37,Retired,Tier_1,0.0,4836.831204306313,496.96,1129.77,1,"Sports, Fitness"
29370.0,46,Professional,Tier_3,0.0,16752.09147365844,1742.51,10875.77,4,"Cooking, Writing"
31481.0,52,Student,Tier_2,1934.59,22450.496143869674,2153.02,4942.81,5,"Social Media, Video Games"
215248.0,33,Self_Employed,Tier_1,0.0,175253.11220781892,37195.29,2799.65,15,"Gaming, Travel"
25721.0,24,Student,Tier_2,3770.32,17668.155021164504,1490.41,2792.14,3,"Video Games, Social Media"
38185.0,57,Professional,Tier_2,2561.59,26845.51616263525,3598.54,5179.07,7,"Cooking, Baking"
29178.0,53,Self_Employed,Tier_1,0.0,21392.69910327705,2215.12,5570.56,4,"Fitness, Sports"
11778.0,61,Student,Tier_1,0.0,9531.694670247156,1021.15,1225.41,2,"Gardening, Social Media"
74848.0,61,Professional,Tier_2,0.0,49426.763427990954,8977.38,16443.58,14,"Gardening, Gaming"
54748.0,48,Professional,Tier_1,0.0,43068.18190524275,6822.62,4857.36,8,"Baking, Cooking"
56488.0,59,Self_Employed,Tier_1,6499.08,43909.09595337307,5653.96,425.57,9,"Photography, Baking"
14493.0,61,Self_Employed,Tier_1,0.0,11149.470981293856,1245.09,2098.75,2,"Fitness, Baking"
92151.0,60,Retired,Tier_3,0.0,66214.7371998871,12429.33,13507.33,15,"Gaming, Reading"
9774.0,60,Retired,Tier_2,0.0,5679.708581425744,869.86,3224.34,1,"Baking, Cooking"
47975.0,64,Student,Tier_2,4989.79,34745.01438247193,5428.59,2811.75,8,"Cooking, Video Games"
173047.0,23,Retired,Tier_2,0.0,108690.08837552182,38309.68,26047.0,15,"Cooking, Gaming"
13582.0,46,Retired,Tier_2,0.0,8945.506236030664,928.62,3708.19,2,"Baking, Cooking"
19071.0,44,Self_Employed,Tier_2,0.0,11513.340325937454,1513.4,6044.08,4,"Reading, Writing"
32490.0,60,Student,Tier_1,3646.06,24143.19319289312,2296.25,2404.05,6,"Baking, Gardening"
20054.0,19,Professional,Tier_2,0.0,12530.991267164274,1178.12,6344.65,4,"Cooking, Fitness"
8677.0,39,Self_Employed,Tier_1,1185.41,7518.3676889445205,0.0,0.0,1,"Fitness, Sports"
31691.0,26,Professional,Tier_2,0.0,19911.166543427757,1945.2,9835.11,6,"Cooking, Baking"
12824.0,28,Retired,Tier_3,0.0,7718.655163040501,760.7,4345.11,2,"Sports, Fitness"
43819.0,33,Retired,Tier_1,3113.68,36565.286891765565,3850.39,289.81,8,"Baking, Cooking"
14377.0,62,Retired,Tier_2,0.0,9984.919077129787,973.43,3419.06,2,"Gardening, Sports"
103663.0,30,Professional,Tier_1,0.0,80514.12695848315,21528.42,1620.42,15,"Travel, Cooking"
16032.0,35,Student,Tier_3,0.0,10037.237604860558,1290.85,4704.04,3,"Sports, Writing"
23186.0,42,Self_Employed,Tier_2,0.0,16015.293927078485,2251.24,4919.45,4,"Reading, Sports"
57513.0,50,Retired,Tier_3,0.0,36087.038962931874,7131.28,14294.69,9,"Baking, Cooking"
11207.0,27,Retired,Tier_2,935.3,7620.912997679156,710.45,1939.98,2,"Cooking, Reading"
35987.0,47,Student,Tier_1,2368.72,26733.671294973905,3418.04,3466.84,7,"Baking, Social Media"
85363.0,18,Self_Employed,Tier_3,12629.01,50927.49442922331,10924.41,10881.98,12,"Baking, Travel"
8291.0,50,Student,Tier_2,480.44,5335.1535326821495,528.83,1946.91,1,"Video Games, Social Media"
34775.0,32,Student,Tier_2,0.0,23357.20652422745,2165.7,9252.29,6,"Baking, Social Media"
36933.0,46,Retired,Tier_2,0.0,26107.86896186755,2285.18,8539.88,8,"Baking, Cooking"
56073.0,19,Retired,Tier_1,0.0,46473.7545761167,6090.99,3508.33,8,"Baking, Cooking"
11152.0,28,Student,Tier_2,0.0,7866.220829161184,946.67,2339.31,3,"Sports, Reading"
10432.0,51,Professional,Tier_2,0.0,6523.035298734707,587.68,3320.81,2,"Fitness, Writing"
45547.0,58,Retired,Tier_3,6775.58,28701.629877829055,5780.12,4289.94,6,"Gardening, Reading"
38046.0,36,Self_Employed,Tier_1,0.0,31782.27793329794,3063.99,3199.32,7,"Cooking, Baking"
36657.0,19,Retired,Tier_2,0.0,25745.744750848964,3523.56,7387.23,8,"Cooking, Baking"
39581.0,37,Professional,Tier_3,7755.89,22375.03506622829,2878.07,6572.27,6,"Baking, Cooking"
17412.0,58,Professional,Tier_1,0.0,12260.605898450694,1505.4,3646.31,3,"Gardening, Cooking"
36126.0,48,Student,Tier_1,0.0,24517.901798024468,2842.94,8764.71,6,"Baking, Video Games"
37927.0,21,Student,Tier_1,6955.02,28298.91238038001,2485.67,187.1,6,"Baking, Video Games"
16941.0,46,Professional,Tier_2,0.0,9579.531612058016,1401.96,5959.16,3,"Reading, Baking"
133462.0,47,Self_Employed,Tier_2,0.0,91560.95738483168,21410.29,20490.78,15,"Electronics, Photography"
43828.0,30,Student,Tier_3,0.0,29358.07318138561,4888.45,9581.08,6,"Video Games, Cooking"
11567.0,32,Professional,Tier_2,0.0,7615.0860033512545,1093.33,2858.57,2,"Writing, Reading"
50726.0,37,Self_Employed,Tier_2,0.0,32814.69215768363,5166.95,12744.44,10,"Cooking, Baking"
13756.0,51,Self_Employed,Tier_3,0.0,8404.507642826442,1128.03,4223.15,2,"Reading, Gardening"
56310.0,45,Professional,Tier_1,0.0,45127.36381390495,7705.97,3476.27,10,"Cooking, Baking"
75798.0,37,Professional,Tier_2,7498.87,52133.207043033355,9379.54,6786.53,14,"Cooking, Baking"
15559.0,42,Self_Employed,Tier_2,1279.14,8831.479343219582,985.16,4463.41,3,"Cooking, Writing"
64838.0,44,Self_Employed,Tier_1,0.0,52441.27211427119,6746.42,5650.73,10,"Baking, Cooking"
41738.0,47,Professional,Tier_3,0.0,26997.27266615487,4763.2,9977.95,8,"Reading, Cooking"
57907.0,58,Professional,Tier_2,11236.93,37510.93573545241,5580.47,3579.09,9,"Reading, Gardening"
136815.0,37,Retired,Tier_3,0.0,88591.24611339778,25370.93,22853.11,15,"Baking, Travel"
24653.0,18,Self_Employed,Tier_3,2873.8,16573.663876703395,2351.46,2853.79,5,"Cooking, Baking"
16415.0,52,Student,Tier_2,0.0,11786.832150043105,1379.22,3249.16,3,"Sports, Reading"
14726.0,60,Retired,Tier_3,0.0,8096.221772471004,1485.49,5143.86,2,"Reading, Gardening"
15620.0,41,Retired,Tier_2,0.0,9064.948942339362,1544.29,5010.71,3,"Baking, Cooking"
28205.0,42,Self_Employed,Tier_3,2901.23,18508.911252689875,1726.67,5068.67,4,"Cooking, Baking"
39414.0,57,Self_Employed,Tier_1,0.0,30925.933770973454,3573.45,4914.53,9,"Reading, Baking"
37433.0,29,Retired,Tier_1,0.0,31081.275642915116,3083.22,3268.41,7,"Baking, Cooking"
58145.0,28,Self_Employed,Tier_1,0.0,47523.98897606677,6588.21,4033.04,11,"Baking, Cooking"
30314.0,47,Self_Employed,Tier_1,0.0,24317.67302217988,2561.94,3434.06,6,"Writing, Baking"
95969.0,30,Student,Tier_2,0.0,63028.842843621234,13270.56,19669.54,13,"Baking, Social Media"
24276.0,64,Professional,Tier_1,1672.79,18762.525012919014,1266.39,2573.9,4,"Cooking, Reading"
264366.0,42,Retired,Tier_1,0.0,210861.7953571534,49758.47,3745.26,15,"Cooking, Travel"
49488.0,42,Self_Employed,Tier_1,3710.84,41136.56857116209,4315.8,324.84,11,"Cooking, Baking"
15112.0,34,Professional,Tier_2,0.0,8485.80894665837,1432.61,5193.31,2,"Baking, Fitness"
12737.0,29,Professional,Tier_1,0.0,10139.950182112101,656.77,1939.93,2,"Writing, Cooking"
44132.0,28,Professional,Tier_2,7116.6,24737.292532965934,4924.92,7352.75,8,"Cooking, Baking"
25089.0,27,Self_Employed,Tier_1,0.0,20764.058616967042,2027.31,2297.57,4,"Sports, Reading"
53112.0,34,Retired,Tier_2,4260.11,38537.93414563312,6667.66,3646.02,11,"Cooking, Baking"
43807.0,62,Retired,Tier_1,3366.65,31337.926977218296,5699.02,3403.13,9,"Reading, Baking"
28302.0,33,Self_Employed,Tier_1,0.0,21451.392009709896,2204.14,4646.52,4,"Fitness, Baking"
15238.0,37,Self_Employed,Tier_2,0.0,10966.198145285305,1243.07,3028.28,3,"Fitness, Reading"
8929.0,22,Retired,Tier_3,878.05,5246.228900238526,645.62,2159.24,1,"Writing, Fitness"
20989.0,58,Retired,Tier_2,3924.89,13453.401645556505,1935.09,1675.34,3,"Cooking, Reading"
59520.0,49,Retired,Tier_3,0.0,32911.109321661585,6555.37,20053.76,14,"Baking, Cooking"
35605.0,44,Student,Tier_2,0.0,26058.197023267978,3351.51,6194.81,8,"Baking, Video Games"
11074.0,21,Professional,Tier_2,1532.71,7722.145812772283,631.48,1187.74,2,"Writing, Fitness"
34458.0,58,Student,Tier_3,5728.82,21635.555070252125,3243.77,3849.89,5,"Cooking, Social Media"
40831.0,24,Student,Tier_2,0.0,27280.837203802566,5228.27,8322.29,7,"Video Games, Cooking"
14792.0,63,Self_Employed,Tier_1,0.0,12074.060691104536,1028.77,1689.54,3,"Baking, Reading"
33926.0,31,Professional,Tier_3,0.0,19915.323784703916,2618.11,11392.42,6,"Writing, Reading"
31430.0,56,Professional,Tier_1,0.0,21572.172036206382,2629.39,7228.49,5,"Gardening, Reading"
12023.0,41,Retired,Tier_2,0.0,9053.91249754457,989.66,1979.42,2,"Writing, Fitness"
39942.0,35,Self_Employed,Tier_1,6304.24,32195.93700313491,1340.85,100.93,8,"Baking, Cooking"
46985.0,55,Self_Employed,Tier_1,0.0,35906.614423953106,6490.84,4587.39,8,"Cooking, Gardening"
71353.0,56,Retired,Tier_2,13734.21,53022.75395186775,4274.24,321.72,13,"Gaming, Electronics"
69703.0,57,Retired,Tier_1,10703.58,53416.87477092957,5191.48,390.76,8,"Gardening, Cooking"
9965.0,18,Student,Tier_3,0.0,5864.001673952576,997.06,3103.77,2,"Baking, Social Media"
14167.0,34,Retired,Tier_2,974.48,9890.776977686406,1182.76,2119.29,2,"Baking, Reading"
45296.0,43,Retired,Tier_2,3637.91,28788.268956162246,6148.94,6721.19,6,"Baking, Cooking"
45251.0,39,Self_Employed,Tier_2,7033.22,32018.757798402454,5188.3,1010.79,8,"Cooking, Baking"
45297.0,56,Student,Tier_2,0.0,33685.982153260746,5548.94,6061.84,8,"Video Games, Social Media"
654180.0,35,Professional,Tier_2,53807.67,462556.1787528086,128169.04,9647.13,15,"Travel, Baking"
47366.0,55,Student,Tier_2,8241.77,32598.375652804018,5052.42,1473.67,8,"Video Games, Baking"
74414.0,45,Self_Employed,Tier_3,0.0,48976.56454997671,8973.54,16464.33,13,"Baking, Cooking"
64354.0,38,Professional,Tier_3,0.0,39170.56012502259,8636.2,16547.22,11,"Cooking, Photography"
50517.0,55,Student,Tier_1,9191.57,40732.93628831218,551.04,41.48,11,"Gardening, Social Media"
23312.0,50,Retired,Tier_3,0.0,12817.663810980468,1370.47,9124.19,3,"Sports, Writing"
55057.0,47,Student,Tier_2,6175.16,33399.45547653134,5830.92,9651.67,9,"Video Games, Social Media"
16166.0,59,Professional,Tier_3,1735.46,11216.596095504568,1544.26,1670.12,3,"Cooking, Reading"
24822.0,25,Student,Tier_2,0.0,15693.319787671422,1545.37,7583.61,4,"Baking, Video Games"
20346.0,47,Student,Tier_2,1385.94,14158.097839899501,1714.28,3088.14,4,"Fitness, Video Games"
32031.0,56,Student,Tier_1,0.0,23354.72052432679,2731.18,5944.86,6,"Gardening, Reading"
191124.0,26,Retired,Tier_2,0.0,132592.32074302278,42150.85,16381.17,15,"Cooking, Photography"
6735.0,50,Self_Employed,Tier_2,1284.27,4591.827338969885,394.58,464.78,1,"Sports, Cooking"
51946.0,60,Self_Employed,Tier_2,0.0,30312.95453287593,7392.18,14240.91,8,"Reading, Baking"
8257.0,46,Self_Employed,Tier_2,0.0,4723.924871675116,820.15,2712.62,1,"Baking, Cooking"
20566.0,48,Student,Tier_2,2530.99,14710.278025503598,1248.26,2076.74,4,"Fitness, Video Games"
71690.0,20,Professional,Tier_2,0.0,46387.04570968399,10030.14,15273.29,11,"Baking, Cooking"
31583.0,55,Student,Tier_3,4933.55,18330.72296344711,2433.88,5884.92,7,"Social Media, Gardening"
12667.0,28,Student,Tier_3,932.95,8273.56366661557,1213.76,2246.74,2,"Video Games, Sports"
16928.0,22,Self_Employed,Tier_2,0.0,11002.862779760042,1694.82,4230.07,4,"Cooking, Writing"
51670.0,48,Self_Employed,Tier_3,0.0,31520.77925771621,6610.56,13538.57,8,"Cooking, Baking"
16725.0,37,Retired,Tier_2,0.0,10827.704784105312,1571.39,4325.9,2,"Reading, Writing"
35672.0,21,Student,Tier_2,4670.62,26051.947039775332,3273.73,1675.64,7,"Social Media, Baking"
31114.0,25,Retired,Tier_1,0.0,24586.582236575796,2229.66,4297.66,5,"Cooking, Baking"
17813.0,59,Retired,Tier_3,0.0,10017.02293538148,1460.63,6335.14,3,"Sports, Reading"
166726.0,52,Retired,Tier_2,0.0,98188.23474050032,38961.44,29576.48,15,"Gardening, Baking"
49816.0,30,Self_Employed,Tier_1,8298.11,37762.67998696352,3492.18,262.85,8,"Cooking, Baking"
5936.0,22,Retired,Tier_2,0.0,4003.7035110250426,572.64,1359.94,1,"Fitness, Cooking"
34826.0,57,Student,Tier_2,0.0,22322.888309254373,2052.57,10450.42,5,"Reading, Gardening"
17668.0,36,Retired,Tier_3,0.0,11608.637227845744,1477.78,4581.81,4,"Fitness, Baking"
59332.0,35,Self_Employed,Tier_2,8287.8,40438.9818993264,7061.17,3543.76,13,"Photography, Cooking"
15914.0,50,Student,Tier_2,0.0,10666.541504161312,1278.73,3968.44,3,"Reading, Writing"
27369.0,21,Student,Tier_2,2927.89,19667.29849664562,1403.11,3370.63,5,"Video Games, Baking"
44934.0,35,Professional,Tier_2,0.0,28282.925953502312,5069.17,11581.57,7,"Cooking, Baking"
59967.0,63,Self_Employed,Tier_1,0.0,47017.02599865734,7450.84,5499.56,12,"Baking, Photography"
11484.0,41,Professional,Tier_2,0.0,7795.155082105103,1105.72,2583.19,2,"Cooking, Writing"
22956.0,60,Self_Employed,Tier_3,0.0,14033.01729990327,2251.87,6671.5,3,"Fitness, Reading"
20517.0,46,Self_Employed,Tier_1,0.0,16281.474427010666,1123.17,3112.1,3,"Cooking, Baking"
17788.0,48,Self_Employed,Tier_3,0.0,11935.62237611932,1084.64,4767.91,3,"Reading, Fitness"
123169.0,45,Professional,Tier_2,0.0,81578.97528649447,24795.84,16794.6,15,"Baking, Travel"
41479.0,26,Retired,Tier_1,5899.91,34291.94951235068,1196.87,90.09,7,"Baking, Reading"
10941.0,62,Self_Employed,Tier_1,2180.85,8785.657187886189,0.0,0.0,2,"Cooking, Writing"
62520.0,43,Student,Tier_1,0.0,49991.97029876887,8123.58,4404.48,12,"Social Media, Video Games"
163845.0,64,Student,Tier_2,0.0,104848.62477264032,34102.04,24894.58,15,"Cooking, Social Media"
68523.0,19,Self_Employed,Tier_1,0.0,54350.914603730256,7848.09,6324.0,9,"Baking, Cooking"
8897.0,23,Self_Employed,Tier_1,1355.89,7119.636763046399,391.86,29.5,2,"Writing, Sports"
20365.0,46,Self_Employed,Tier_2,0.0,12623.738292266687,1376.35,6364.76,4,"Reading, Writing"
82659.0,43,Retired,Tier_2,0.0,57660.74334375978,8698.58,16299.89,12,"Cooking, Baking"
17031.0,45,Self_Employed,Tier_2,0.0,12789.989478949065,897.64,3343.82,4,"Fitness, Cooking"
42788.0,24,Retired,Tier_1,5368.51,30713.870327383614,4973.09,1732.33,8,"Baking, Cooking"
55752.0,51,Retired,Tier_1,9940.86,39997.040357952996,5406.66,406.95,9,"Reading, Cooking"
14291.0,62,Self_Employed,Tier_2,0.0,9451.876973290606,945.12,3894.33,3,"Fitness, Reading"
28605.0,27,Self_Employed,Tier_2,0.0,19030.27738592181,1915.47,7659.13,4,"Writing, Baking"
2244.0,58,Retired,Tier_2,270.67,1434.4248673822908,193.53,345.2,0,"Fitness, Writing"
